Country/Region,Latitude,Longitude,Continent
Afghanistan,33.7680065,66.2385139,Asia
Albania,41.000028,19.9999619,Europe
Algeria,28.0000272,2.9999825,Africa
Andorra,42.5407167,1.5732033,Europe
Angola,-11.8775768,17.5691241,Africa
Antigua and Barbuda,17.2234721,-61.9554608,North America
Argentina,-34.9964963,-64.9672817,South America
Armenia,40.7696272,44.6736646,Asia
Aruba,12.5013629,-69.9618475,North America
Australia,-24.7761086,134.755,Oceania
Austria,47.2000338,13.199959,Europe
Azerbaijan,40.3936294,47.7872508,Asia
Bahamas,24.7736546,-78.0000547,North America
Bahrain,26.1551249,50.5344606,Asia
Bangladesh,24.4768783,90.2932426,Asia
Barbados,13.1500331,-59.5250305,North America
Belarus,53.4250605,27.6971358,Europe
Belgium,50.6402809,4.6667145,Europe
Benin,9.5293472,2.2584408,Africa
Bermuda,32.3018217,-64.7603583,North America
Bhutan,27.549511,90.5119273,Asia
Bolivia,-17.0568696,-64.9912286,South America
Bosnia and Herzegovina,44.3053476,17.5961467,Europe
Brazil,-10.3333333,-53.2,South America
Brunei,4.4137155,114.5653908,Asia
Bulgaria,42.6073975,25.4856617,Europe
Burkina Faso,12.0753083,-1.6880314,Africa
Cambodia,13.5066394,104.869423,Asia
Cameroon,4.6125522,13.1535811,Africa
Canada,61.0666922,-107.9917071,North America
Cape Verde,16.0000552,-24.0083947,Africa
Cayman Islands,19.5417212,-80.5667132,North America
Central African Republic,7.0323598,19.9981227,Africa
Chad,15.6134137,19.0156172,Africa
Channel Islands,60.6167942,-145.7996671,Europe
Chile,-31.7613365,-71.3187697,South America
China,35.000074,104.999927,Asia
Colombia,2.8894434,-73.783892,South America
Costa Rica,10.2735633,-84.0739102,North America
Croatia,45.5643442,17.0118954,Europe
Cuba,23.0131338,-80.8328748,North America
Curacao,12.1845,-68.9640875031406,South America
Cyprus,34.9823018,33.1451285,Asia
Czech Republic,49.8167003,15.4749544,Europe
Democratic Republic of the Congo,-2.9814344,23.8222636,Africa
Denmark,55.670249,10.3333283,Europe
Djibouti,11.8145966,42.8453061,Africa
Dominica,19.0974031,-70.3028026,North America
Dominican Republic,19.0974031,-70.3028026,North America
East Timor,-8.5151979,125.8375756,Asia
Ecuador,-1.3397668,-79.3666965,South America
Egypt,26.2540493,29.2675469,Africa
El Salvador,13.8000382,-88.9140683,North America
Equatorial Guinea,1.613172,10.5170357,Africa
Eritrea,15.9500319,37.9999668,Africa
Estonia,58.7523778,25.3319078,Europe
Eswatini,-26.5624806,31.3991317,Africa
Ethiopia,10.2116702,38.6521203,Africa
Faroe Islands,62.0448724,-7.0322972,Europe
Fiji,-18.1239696,179.0122737,Oceania
Finland,63.2467777,25.9209164,Europe
France,46.603354,1.8883335,Europe
French Guiana,4.0039882,-52.999998,South America
French Polynesia,-16.03442485,-146.0490931059517,Oceania
Gabon,-0.8999695,11.6899699,Africa
Gambia,13.470062,-15.4900464,Africa
Georgia,32.3293809,-83.1137366,Asia
Germany,51.0834196,10.4234469,Europe
Ghana,8.0300284,-1.0800271,Africa
Gibraltar,36.10674695,-5.335277183483561,Europe
Greece,38.9953683,21.9877132,Europe
Greenland,77.6192349,-42.8125967,North America
Grenada,12.1360374,-61.6904045,North America
Guadeloupe,16.2490067,-61.5650444,North America
Guam,13.450125700000001,144.75755102972062,Oceania
Guatemala,15.6356088,-89.8988087,North America
Guernsey,49.579520200000005,-2.5290434448309886,Europe
Guinea,10.7226226,-10.7083587,Africa
Guyana,4.8417097,-58.6416891,South America
Haiti,19.1399952,-72.3570972,North America
Honduras,15.2572432,-86.0755145,North America
Hong Kong,22.2793278,114.1628131,Asia
Hungary,47.1817585,19.5060937,Europe
Iceland,64.9841821,-18.1059013,Europe
India,22.3511148,78.6677428,Asia
Indonesia,-2.4833826,117.8902853,Asia
Iran,32.6475314,54.5643516,Asia
Iraq,33.0955793,44.1749775,Asia
Isle of Man,54.2358167,-4.514598745698255,Europe
Israel,31.5313113,34.8667654,Asia
Italy,42.6384261,12.674297,Europe
Ivory Coast,7.9897371,-5.5679458,Africa
Jamaica,18.1152958,-77.1598454610168,North America
Japan,36.5748441,139.2394179,Asia
Jersey,49.21230655,-2.1255999596428845,Europe
Jordan,31.1667049,36.941628,Asia
Kazakhstan,47.2286086,65.2093197,Asia
Kenya,1.4419683,38.4313975,Africa
Kosovo,42.5869578,20.9021231,Europe
Kuwait,29.2733964,47.4979476,Asia
Kyrgyzstan,41.5089324,74.724091,Asia
Latvia,56.8406494,24.7537645,Europe
Lebanon,33.8750629,35.843409,Asia
Liberia,5.7499721,-9.3658524,Africa
Liechtenstein,47.1416307,9.5531527,Europe
Lithuania,55.3500003,23.7499997,Europe
Luxembourg,49.8158683,6.1296751,Europe
Macau,22.1757605,113.5514142,Asia
Madagascar,-18.9249604,46.4416422,Africa
Malaysia,4.5693754,102.2656823,Asia
Maldives,4.7064352,73.3287853,Asia
